Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Victim_Race,Victim_Gender,Victim_Age,Report_Type
C-05687-17,7,70XX Bundy Rd Aa16,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-06 08:12:00,,,,,,WHITE,FEMALE,58,Incident Report
A-07632-17,3,25XX Verbena St,OPEN,67A,AUTO THEFT,2017-01-07 14:40:00,14 68.4,UNAUTHORIZED USE OF A MOTOR VEHICLE,BLACK,MALE,,BLACK,MALE,30,Supplemental Report
B-30796-17,8,Dumaine St & Decatur St,CLOSED,38,SIMPLE ASSAULT,2017-02-26 16:00:00,54 97,ASSAULT,WHITE,MALE,56,WHITE,FEMALE,36,Incident Report
C-06006-17,3,22XX Mendez St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-03-06 09:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,BLACK,MALE,37,Incident Report
B-22207-17,6,28XX S Claiborne Av B,CLOSED,67S,SHOPLIFTING,2017-02-19 19:20:00,54 186,THEFT,BLACK,MALE,32,BLACK,MALE,,Incident Report
C-03338-17,4,19XX Jo Ann Pl,OPEN,103,DISTURBANCE,2017-03-03 22:30:00,,,,,,BLACK,FEMALE,52,Incident Report
C-01917-17,4,1XX Brunswick Ct,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-03-02 15:00:00,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,,,,WHITE,MALE,65,Supplemental Report
C-01917-17,4,1XX Brunswick Ct,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-03-02 15:00:00,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,,,,WHITE,MALE,65,Supplemental Report
C-04913-17,7,119XX Hayne Bd,CLOSED,21,MISCELLANEOUS INCIDENT,2017-03-05 12:50:00,PROBATION AND PAROLE,VIOLATION#,BLACK,MALE,27,,,,Incident Report
B-23384-17,6,7XX Howard Av,OPEN,103,DISTURBANCE,2017-02-20 17:45:00,,,,,,BLACK,FEMALE,29,Incident Report
B-29163-17,2,76XX Maple St,OPEN,35,SIMPLE BATTERY,2017-02-24 04:00:00,,,,,,WHITE,MALE,21,Supplemental Report
B-31001-17,6,20XX S Claiborne Av,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-26 14:26:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,,,,Supplemental Report
C-06421-17,5,8XX Spain St,OPEN,62,SIMPLE BURGLARY,2017-03-06 19:10:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,WHITE,FEMALE,,WHITE,MALE,51,Incident Report
C-04162-17,3,43XX Iberville St,OPEN,103,DISTURBANCE,2017-03-04 18:17:00,,,,,,WHITE,FEMALE,50,Incident Report
C-07292-17,5,14XX Lesseps St,OPEN,29,DEATH,2017-03-07 15:16:00,,,,,,BLACK,FEMALE,58,Incident Report
B-07169-17,1,30XX Canal St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-06 09:30:00,,,,,,,,,Incident Report
A-27275-17,6,20XX S Claiborne Av,OPEN,67F,THEFT BY FRAUD,2017-01-17 16:37:00,14 67,THEFT,BLACK,MALE,36,,,,Supplemental Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 34,AGG. BATTERY,BLACK,MALE,,BLACK,MALE,22,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 34,AGG. BATTERY,BLACK,MALE,,BLACK,MALE,22,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,,BLACK,MALE,21,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,,BLACK,MALE,21,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,,BLACK,MALE,21,Incident Report
C-06143-17,7,49XX Laine Av,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-06 09:00:00,,,,,,BLACK,FEMALE,38,Incident Report
B-16894-17,7,57XX Crowder Bd,OPEN,67S,SHOPLIFTING,2017-02-15 13:25:00,14 67.10,THEFT OF GOODS,BLACK,MALE,,,,,Supplemental Report
C-06517-17,5,9XX Independence St,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-06 20:24:00,,,,,,WHITE,FEMALE,53,Incident Report
B-32071-17,6,5XX Philip St,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,2017-02-26 21:10:00,14 67,THEFT,WHITE,FEMALE,,,,,Incident Report
B-30372-17,6,13XX Saint Charles Av,OPEN,67,THEFT,2017-02-25 01:20:00,14 67,THEFT,WHITE,MALE,34,WHITE,FEMALE,42,Incident Report
C-05518-17,8,3XX Bourbon St,OPEN,24,MEDICAL,2017-03-06 02:00:00,,,,,,BLACK,MALE,23,Incident Report
C-02545-17,8,3XX Canal St,OPEN,67A,AUTO THEFT,2017-02-22 02:00:00,14 67.26,THEFT OF A MOTOR VEHICLE,UNKNOWN,,,BLACK,FEMALE,61,Incident Report
C-06597-17,7,80XX Trapier Av,CLOSED,17F,FUGITIVE ATTACHMENT,2017-03-06 21:39:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,27,,,,Incident Report
B-33845-17,6,Washington Av & S Liberty St,CLOSED,103,DISTURBANCE,2017-02-28 19:30:00,54 403,DISTURBING THE PEACE,BLACK,FEMALE,40,BLACK,FEMALE,42,Incident Report
C-05895-17,6,18XX Tchoupitoulas St,OPEN,21P,LOST PROPERTY,2017-03-06 11:25:00,,,,,,,,,Supplemental Report
C-00222-17,2,42XX Elba St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-01 06:50:00,,,,,,BLACK,MALE,2,Incident Report
B-33692-17,6,Saint Charles Av & Clio St,OPEN,21P,LOST PROPERTY,2017-02-28 17:00:00,,,,,,,,,Incident Report
B-27134-17,8,9XX Poydras St,OPEN,24,MEDICAL,2017-02-24 02:28:00,,,,,,WHITE,FEMALE,28,Incident Report
B-28067-17,2,25XX Leonidas St,CLOSED,103D,DISTURBANCE (DOMESTIC),2017-02-24 21:09:00,,,,,,BLACK,FEMALE,26,Incident Report
B-16418-17,4,58XX Abbey St,OPEN,27-62R,ATTEMPTED SIMPLE BURGLARY (RESIDENCE),2017-02-15 00:10:00,,,,,,BLACK,FEMALE,35,Incident Report
B-33845-17,6,Washington Av & S Liberty St,CLOSED,103,DISTURBANCE,2017-02-28 19:30:00,54 403,DISTURBING THE PEACE,BLACK,FEMALE,40,BLACK,FEMALE,40,Incident Report
B-16330-17,4,36XX Preston Pl,CLOSED,103D,DISTURBANCE (DOMESTIC),2017-02-14 22:10:00,,,,,,BLACK,FEMALE,9,Incident Report
B-25785-17,6,27XX Willow St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-02-22 22:30:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,38,BLACK,FEMALE,37,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 34,AGG. BATTERY,BLACK,MALE,,BLACK,MALE,21,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 34,AGG. BATTERY,BLACK,MALE,,BLACK,MALE,21,Incident Report
B-24268-17,7,72XX Lake Willow Rd,OPEN,64J,ARMED CARJACKING,2017-02-21 15:00:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,17,BLACK,MALE,71,Supplemental Report
B-20237-17,2,39XX Louisiana Avenue Pw,OPEN,27-64G,ATTEMPTED ARMED ROBBERY (GUN),2017-02-18 08:50:00,,,,,,BLACK,MALE,64,Supplemental Report
C-05976-17,7,48XX Virgilian St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-05 12:42:00,,,,,,BLACK,FEMALE,64,Incident Report
C-04611-17,8,5XX Bourbon St,OPEN,103,DISTURBANCE,2017-03-05 05:15:00,,,,,,WHITE,MALE,59,Incident Report
C-00292-17,8,8XX Saint Ann St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-28 22:00:00,,,,,,WHITE,FEMALE,23,Incident Report
B-30372-17,6,13XX Saint Charles Av,OPEN,67,THEFT,2017-02-25 01:20:00,14 67,THEFT,WHITE,MALE,34,WHITE,MALE,30,Incident Report
C-03298-17,3,68XX Franklin Av,CLOSED,67,THEFT,2017-03-03 08:15:00,54 186,THEFT,BLACK,FEMALE,40,BLACK,MALE,,Incident Report
C-00098-17,1,1XX N Prieur St,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-01 02:35:00,,,,,,BLACK,MALE,29,Supplemental Report
B-27341-17,8,2XX Bourbon St,OPEN,67,THEFT,2017-02-23 23:20:00,14 67,THEFT,,,,WHITE,FEMALE,42,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 55,AGG. CRIMINAL DAMAGE,BLACK,MALE,,BLACK,MALE,39,Incident Report
C-02196-17,3,40XX Stutz St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-02 20:25:00,,,,,,BLACK,MALE,52,Incident Report
B-21322-17,8,4XX Bourbon St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-18 23:58:00,,,,,,BLACK,MALE,46,Incident Report
B-16291-17,4,31XX Preston Pl,CLOSED,103D,DISTURBANCE (DOMESTIC),2017-02-14 21:30:00,,,,,,BLACK,FEMALE,33,Incident Report
C-02144-17,8,2XX Baronne St,OPEN,21P,LOST PROPERTY,2017-03-02 19:25:00,,,,,,WHITE,MALE,32,Incident Report
C-05089-17,7,XX S Oak Ridge Ct,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-05 16:00:00,,,,,,BLACK,FEMALE,49,Incident Report
C-07141-17,7,Dreux St & Stemway,CLOSED,18,TRAFFIC INCIDENT,2017-03-07 12:31:00,32 123,DISREGARDING STOP AND YIELD SIGNS,BLACK,MALE,16,,,,Incident Report
B-07633-17,2,70XX Hickory St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-07 16:09:00,14 62,SIMPLE BURGLARY,,,,WHITE,MALE,22,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 55,AGG. CRIMINAL DAMAGE,BLACK,MALE,,BLACK,FEMALE,23,Incident Report
C-01318-17,3,20XX Pelopidas St,CLOSED,103D,DISTURBANCE (DOMESTIC),2017-03-02 04:15:00,,,,,,BLACK,FEMALE,37,Incident Report
A-31939-17,6,15XX Rev John Raphael Jr Wy A,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-28 12:58:00,14 62.8,RELATIVE TO HOME INVASION,BLACK,MALE,44,BLACK,FEMALE,24,Incident Report
A-31939-17,6,15XX Rev John Raphael Jr Wy A,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-28 12:58:00,14 35.3(b)6,ACTS OF DOMESTIC VIOLENCE(STRANGULATION),BLACK,MALE,44,BLACK,FEMALE,24,Incident Report
C-01449-17,6,33XX 3rd St,OPEN,67,THEFT,2017-03-02 04:00:00,14 79,VIOLATIONS OF PROTECTIVE ORDERS,BLACK,MALE,29,BLACK,FEMALE,28,Incident Report
A-29980-17,6,12XX 8th St,OPEN,21J,MISSING/RUNAWAY JUVENILE,2017-01-26 17:00:00,14 730.3,RUNAWAY JUVENILE,BLACK,FEMALE,17,BLACK,FEMALE,44,Supplemental Report
C-04446-17,6,14XX S Claiborne Av,OPEN,67S,SHOPLIFTING,2017-03-04 23:00:00,54 186,THEFT,BLACK,MALE,,WHITE,MALE,37,Incident Report
B-12210-17,2,S Carrollton Av & S Claiborne Av,OPEN,21P,LOST PROPERTY,2017-02-10 19:00:00,,,,,,BLACK,MALE,74,Incident Report
B-30185-17,6,12XX Orange St,OPEN,64G,ARMED ROBBERY (GUN),2017-02-26 05:55:00,14 64.3,USE OF FIREARM IN ROBBERY,,,,WHITE,MALE,54,Incident Report
C-03180-17,3,49XX Mirabeau Av,CLOSED,103,DISTURBANCE,2017-03-03 06:15:00,,,,,,BLACK,MALE,52,Incident Report
C-05489-17,6,27XX Loyola Av,CLOSED,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),2017-03-06 01:15:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,54,BLACK,FEMALE,55,Incident Report
C-05150-17,3,49XX Chef Menteur Hw,OPEN,67A,AUTO THEFT,2017-03-05 02:45:00,,,,,,BLACK,FEMALE,34,Supplemental Report
C-06182-17,1,15XX Canal St,OPEN,21P,LOST PROPERTY,2017-01-25 15:00:00,,,,,,BLACK,MALE,61,Incident Report
C-02880-17,5,15XX Feliciana St,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-02 11:00:00,,,,,,BLACK,MALE,68,Incident Report
C-05459-17,2,24XX S Carrollton Av,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-05 11:51:00,,,,,,BLACK,FEMALE,24,Incident Report
C-02777-17,8,10XX Canal St,CLOSED,35,SIMPLE BATTERY,2017-03-03 11:47:00,14 35,SIMPLE BATTERY,BLACK,FEMALE,22,ASIAN,FEMALE,70,Incident Report
C-00265-17,7,45XX Michoud Bd,OPEN,67S,SHOPLIFTING,2017-03-01 07:45:00,,,,,,,,,Supplemental Report
C-02037-17,3,16XX Caton St,OPEN,21P,LOST PROPERTY,2017-03-02 17:30:00,,,,,,BLACK,FEMALE,62,Incident Report
C-05968-17,6,28XX S Johnson St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-03-06 12:35:00,54 151,CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,,BLACK,MALE,39,Incident Report
C-05118-17,4,27XX Comet St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-03-05 16:58:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,UNKNOWN,,,BLACK,MALE,53,Incident Report
B-09756-17,7,56XX Rickert Dr,CLOSED,21,MISCELLANEOUS INCIDENT,2017-02-10 09:51:00,,,,,,,,34,Incident Report
C-04726-17,6,8XX Saint Andrew St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-03-05 01:15:00,14 62,SIMPLE BURGLARY,,,,BLACK,FEMALE,61,Incident Report
A-26477-17,5,18XX Saint Roch St,OPEN,67A,AUTO THEFT,2017-01-23 22:15:00,14 67,THEFT,,,,WHITE,MALE,26,Supplemental Report
B-20113-17,8,7XX Iberville St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-19 04:46:00,,,,,,HISPANIC,MALE,29,Incident Report
B-09665-17,6,12XX S Dorgenois,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-09 09:38:00,,,BLACK,FEMALE,35,,,,Incident Report
A-25778-17,7,70XX Read Ln,OPEN,67,THEFT,2017-01-23 12:00:00,54 186,THEFT,BLACK,FEMALE,31,,,,Supplemental Report
B-33454-17,8,19XX N Rampart St,OPEN,35,SIMPLE BATTERY,2017-02-28 13:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,,WHITE,MALE,51,Incident Report
B-12148-17,8,6XX Chartres St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-11 08:15:00,,,,,,WHITE,FEMALE,66,Incident Report
C-01792-17,2,Olive St & Eagle St,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-02 13:41:00,,,,,,BLACK,FEMALE,37,Incident Report
C-06258-17,7,40XX Downman Rd,OPEN,27-29S,ATTEMPTED SUICIDE,2017-03-06 17:18:00,,,,,,BLACK,MALE,44,Incident Report
C-00292-17,8,8XX Saint Ann St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-28 22:00:00,,,,,,UNKNOWN,MALE,23,Incident Report
B-11111-17,8,3XX Royal St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-10 12:30:00,,,,,,,FEMALE,,Incident Report
C-06517-17,5,9XX Independence St,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-06 20:24:00,,,,,,WHITE,MALE,61,Incident Report
C-05798-17,7,47XX E Francis Dr,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-06 09:53:00,,,,,,BLACK,MALE,28,Incident Report
C-05826-17,5,26XX A P Tureaud St 70117,OPEN,67,THEFT,2017-03-06 10:45:00,14 67,THEFT,,,,BLACK,MALE,17,Incident Report
B-25062-17,3,31XX Saint Bernard Av,CLOSED,35,SIMPLE BATTERY,2017-02-10 15:30:00,14 35,SIMPLE BATTERY,BLACK,MALE,15,BLACK,MALE,14,Supplemental Report
C-05892-17,8,7XX Canal St,OPEN,67F,THEFT BY FRAUD,2017-03-06 03:59:00,14 67,THEFT,,,,WHITE,FEMALE,31,Incident Report
C-06258-17,7,40XX Downman Rd,OPEN,27-29S,ATTEMPTED SUICIDE,2017-03-06 17:18:00,,,,,,BLACK,MALE,30,Incident Report
C-00098-17,1,1XX N Prieur St,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-01 02:35:00,,,,,,BLACK,FEMALE,16,Supplemental Report
B-22758-17,2,3XX Webster St,OPEN,67A,AUTO THEFT,2017-02-20 13:11:00,,,,,,WHITE,MALE,71,Supplemental Report
C-02633-17,6,26XX 2nd St,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-03 09:15:00,,,,,,WHITE,MALE,53,Incident Report
C-06356-17,7,130XX Cherbourg,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-06 18:27:00,,,,,,BLACK,MALE,30,Incident Report
A-29842-17,5,60XX Chartres St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-01-26 16:30:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,33,BLACK,FEMALE,29,Supplemental Report
C-05792-17,8,3XX Royal St,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-06 09:00:00,,,,,,,MALE,,Incident Report
C-02694-17,7,140XX Curran Rd,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-03-03 09:00:00,14 34.1,SECOND DEGREE BATTERY,BLACK,MALE,42,BLACK,MALE,68,Incident Report
B-30472-17,5,30XX Pauger St,OPEN,103,DISTURBANCE,2017-02-26 11:32:00,,,,,,BLACK,FEMALE,77,Incident Report
C-04451-17,2,45XX Dryades St,OPEN,67B,BICYCLE THEFT,2017-03-04 20:45:00,14 67,THEFT,BLACK,MALE,,WHITE,MALE,26,Incident Report
C-04451-17,2,45XX Dryades St,OPEN,67B,BICYCLE THEFT,2017-03-04 20:45:00,14 67,THEFT,BLACK,MALE,,WHITE,MALE,26,Incident Report
C-04451-17,2,45XX Dryades St,OPEN,67B,BICYCLE THEFT,2017-03-04 20:45:00,14 67,THEFT,BLACK,MALE,,WHITE,MALE,26,Incident Report
C-04446-17,6,14XX S Claiborne Av,OPEN,67S,SHOPLIFTING,2017-03-04 23:00:00,54 151,CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,,WHITE,MALE,37,Incident Report
B-03682-17,2,91XX Oleander St,OPEN,107,SUSPICIOUS PERSON,2017-02-03 23:10:00,,,,,,BLACK,FEMALE,41,Incident Report
B-13110-17,8,1XX Roosevelt Wy,OPEN,103F,DISTURBANCE (FIGHT),2017-02-11 03:35:00,,,,,,WHITE,MALE,40,Incident Report
C-04149-17,8,3XX Royal St,OPEN,21M,MISSING ADULT,2017-03-04 18:00:00,,,WHITE,MALE,20,WHITE,MALE,57,Incident Report
C-02017-17,3,15XX Robert E Lee Bd,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-02 17:15:00,,,,,,BLACK,FEMALE,31,Incident Report
C-05959-17,5,21XX Almonaster Av,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-06 12:20:00,,,,,,BLACK,FEMALE,30,Incident Report
C-05518-17,8,3XX Bourbon St,OPEN,24,MEDICAL,2017-03-06 02:00:00,,,,,,WHITE,MALE,31,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 55,AGG. CRIMINAL DAMAGE,BLACK,MALE,,BLACK,MALE,22,Incident Report
B-30796-17,8,Dumaine St & Decatur St,CLOSED,38,SIMPLE ASSAULT,2017-02-26 16:00:00,54 97,ASSAULT,WHITE,MALE,56,WHITE,MALE,27,Incident Report
C-05632-17,5,20XX N Roman,OPEN,21J,MISSING/RUNAWAY JUVENILE,2017-03-05 00:00:00,14 730.3,RELATIVE TO MISSING/RUNAWAY JUVENILE,BLACK,MALE,14,,,,Incident Report
B-23910-17,8,Henderson St & Convention Center St,OPEN,103,DISTURBANCE,2017-02-21 08:20:00,,,,,,BLACK,MALE,41,Incident Report
B-25714-17,6,14XX Baronne St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-02-22 21:35:00,14 55,AGG. CRIMINAL DAMAGE,BLACK,MALE,,,,,Incident Report
B-25940-17,8,4XX Canal St,OPEN,67P,PICKPOCKET,2017-02-22 22:30:00,14 67,THEFT,,,,WHITE,MALE,69,Incident Report
C-06356-17,7,130XX Cherbourg,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-06 18:27:00,,,,,,BLACK,FEMALE,34,Incident Report
C-06085-17,1,27XX Tulane Av,CLOSED,21,MISCELLANEOUS INCIDENT,2017-03-06 14:15:00,COURT CAPIAS,CDC WARRANT#,BLACK,MALE,21,,,,Incident Report
C-04149-17,8,3XX Royal St,OPEN,21M,MISSING ADULT,2017-03-04 18:00:00,,,WHITE,MALE,20,WHITE,MALE,20,Incident Report
B-01040-17,6,14XX General Taylor St,OPEN,21M,MISSING ADULT,2017-02-01 10:30:00,,,BLACK,FEMALE,50,BLACK,MALE,25,Incident Report
A-29980-17,6,12XX 8th St,OPEN,21J,MISSING/RUNAWAY JUVENILE,2017-01-26 17:00:00,14 730.3,RUNAWAY JUVENILE,WHITE,FEMALE,17,BLACK,FEMALE,44,Supplemental Report
A-26887-17,1,14XX Crete St,OPEN,67A,AUTO THEFT,2017-01-24 02:07:00,14 68.4,UNAUTHORIZED USE OF A MOTOR VEHICLE,,,,WHITE,MALE,38,Supplemental Report
C-00222-17,2,42XX Elba St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-01 06:50:00,,,,,,BLACK,FEMALE,27,Incident Report
B-02593-17,5,23XX Saint Claude St,OPEN,103,DISTURBANCE,2017-02-03 03:30:00,54 97,ASSAULT,BLACK,MALE,25,BLACK,FEMALE,24,Incident Report
B-16291-17,4,31XX Preston Pl,CLOSED,103D,DISTURBANCE (DOMESTIC),2017-02-14 21:30:00,,,,,,BLACK,MALE,17,Incident Report
A-31679-17,1,S Carrollton Av & Tulane Av,CLOSED,82,PROSTITUTION,2017-01-28 05:50:00,14 82,PROSTITUTION,WHITE,FEMALE,37,,,,Incident Report
C-05213-17,6,21XX Rev John Raphael Jr St,OPEN,21J,MISSING/RUNAWAY JUVENILE,2017-03-05 16:00:00,,,BLACK,FEMALE,16,BLACK,FEMALE,41,Supplemental Report
C-06396-17,5,9XX Independence St,OPEN,67A,AUTO THEFT,2017-03-06 18:54:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,WHITE,FEMALE,28,Incident Report
C-05313-17,8,5XX Bourbon St,OPEN,67F,THEFT BY FRAUD,2017-03-05 19:30:00,14 67.3,UNAUTHORIZED USE OF ACCESS CARD,UNKNOWN,,,HISPANIC,FEMALE,67,Incident Report
C-05632-17,5,20XX N Roman,OPEN,21J,MISSING/RUNAWAY JUVENILE,2017-03-05 00:00:00,14 730.3,RELATIVE TO MISSING/RUNAWAY JUVENILE,BLACK,MALE,14,BLACK,FEMALE,46,Incident Report
B-02593-17,5,23XX Saint Claude St,OPEN,103,DISTURBANCE,2017-02-03 03:30:00,54 97,ASSAULT,BLACK,MALE,25,BLACK,FEMALE,30,Incident Report
A-22202-17,1,20XX Poydras St,OPEN,68,UNAUTHORIZED USE OF MOVABLES,2017-01-20 01:45:00,54 187,UNAUTHORIZED USE OF MOVEABLES,BLACK,FEMALE,29,WHITE,FEMALE,24,Supplemental Report
A-35790-17,4,44XX Fiesta St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-31 22:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,36,BLACK,FEMALE,36,Incident Report
C-00292-17,8,8XX Saint Ann St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-28 22:00:00,,,,,,WHITE,MALE,63,Incident Report
C-02777-17,8,10XX Canal St,CLOSED,35,SIMPLE BATTERY,2017-03-03 11:47:00,14 (27) 67,ATTEMPT - THEFT,BLACK,FEMALE,22,ASIAN,MALE,71,Incident Report
C-06166-17,4,36XX Tasha Pl,OPEN,93,CRUELTY TO A JUVENILE,2017-03-05 18:00:00,,,,,,,,,Incident Report
C-03180-17,3,49XX Mirabeau Av,CLOSED,103,DISTURBANCE,2017-03-03 06:15:00,,,,,,BLACK,MALE,24,Incident Report
C-05398-17,8,4XX Bourbon St,OPEN,103,DISTURBANCE,2017-03-05 21:45:00,,,,,,WHITE,MALE,20,Incident Report
B-10987-17,1,15XX N Prieur St,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,2017-02-09 04:30:00,14 67,THEFT,,,,WHITE,MALE,54,Incident Report
C-05884-17,8,4XX Canal St,OPEN,21,MISCELLANEOUS INCIDENT,2017-03-06 10:31:00,,,,,,BLACK,MALE,52,Incident Report
C-03062-17,7,130XX Cherbourg St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-03-03 04:27:00,,,,,,BLACK,MALE,33,Incident Report
B-07169-17,1,30XX Canal St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-06 09:30:00,,,,,,BLACK,MALE,53,Incident Report
B-16363-17,6,11XX Felicity St C,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-02-14 23:25:00,14 35,SIMPLE BATTERY,BLACK,MALE,29,BLACK,MALE,35,Supplemental Report
C-05303-17,7,66XX Harbourview Dr,OPEN,55,AGGRAVATED CRIMINAL DAMAGE,2017-03-05 20:20:00,14 55,AGG. CRIMINAL DAMAGE,,,,BLACK,MALE,48,Supplemental Report
C-05303-17,7,66XX Harbourview Dr,OPEN,55,AGGRAVATED CRIMINAL DAMAGE,2017-03-05 20:20:00,14 55,AGG. CRIMINAL DAMAGE,,,,BLACK,MALE,48,Supplemental Report
C-05303-17,7,66XX Harbourview Dr,OPEN,55,AGGRAVATED CRIMINAL DAMAGE,2017-03-05 20:20:00,14 55,AGG. CRIMINAL DAMAGE,,,,BLACK,MALE,48,Supplemental Report
C-05303-17,7,66XX Harbourview Dr,OPEN,55,AGGRAVATED CRIMINAL DAMAGE,2017-03-05 20:20:00,14 55,AGG. CRIMINAL DAMAGE,,,,BLACK,MALE,48,Supplemental Report
C-05303-17,7,66XX Harbourview Dr,OPEN,55,AGGRAVATED CRIMINAL DAMAGE,2017-03-05 20:20:00,14 55,AGG. CRIMINAL DAMAGE,,,,BLACK,MALE,48,Supplemental Report
C-00696-17,6,16XX Saint Thomas St,CLOSED,35,SIMPLE BATTERY,2017-03-01 14:50:00,54 96,BATTERY,BLACK,FEMALE,21,BLACK,FEMALE,35,Incident Report
